epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4222,3.18912,49.0245,0.00731,0,0,0,0,2.99391,21.96,0.00853,8.232e-05,8.232e-05,8.232e-05
2,50.4316,2.38458,30.7618,0.00484,0.71675,0.04091,0.029,0.01356,2.17536,13.1556,0.00604,0.000169676,0.000169676,0.000169676
3,65.529,1.95252,17.7067,0.00371,0.14751,0.2608,0.12219,0.06165,1.95866,10.1229,0.005,0.000256159,0.000256159,0.000256159
4,82.5636,1.74771,10.8778,0.00317,0.33539,0.39094,0.30359,0.15888,1.8949,7.26207,0.00482,0.000341768,0.000341768,0.000341768
5,98.7956,1.7235,7.48254,0.00317,0.41601,0.42227,0.39822,0.22264,1.86238,6.662,0.00463,0.000426505,0.000426505,0.000426505
6,113.874,1.63213,6.05343,0.00295,0.49278,0.40961,0.38881,0.21075,1.91414,7.031,0.00484,0.000510368,0.000510368,0.000510368
7,128.657,1.55273,5.16055,0.00279,0.47226,0.43895,0.4035,0.21124,1.96257,7.18275,0.00503,0.000570536,0.000570536,0.000570536
8,143.449,1.59089,4.51438,0.00285,0.59004,0.50131,0.51973,0.3023,1.81244,5.96648,0.00453,0.000567626,0.000567626,0.000567626
9,158.419,1.60589,3.88653,0.00283,0.57965,0.46612,0.47546,0.25121,2.00227,6.8462,0.00503,0.000564715,0.000564715,0.000564715
10,173.181,1.60562,3.7764,0.00291,0.55807,0.46444,0.48882,0.26041,1.96007,6.54105,0.00491,0.000561805,0.000561805,0.000561805
11,188.076,1.4348,3.24326,0.00253,0.68855,0.49733,0.56164,0.33207,1.80225,5.94354,0.00449,0.000558894,0.000558894,0.000558894
12,203.097,1.28616,2.68283,0.00237,0.64821,0.49383,0.55639,0.33453,1.79456,5.98602,0.0045,0.000555983,0.000555983,0.000555983
13,218.067,1.30446,2.54388,0.00236,0.64801,0.50244,0.55009,0.32949,1.8494,6.41784,0.00468,0.000553073,0.000553073,0.000553073
14,232.944,1.19541,2.06044,0.00213,0.64769,0.5109,0.54611,0.33643,1.78173,6.17183,0.00445,0.000550162,0.000550162,0.000550162
15,248.076,1.14465,1.90606,0.00202,0.66998,0.5009,0.55714,0.34639,1.78944,5.77983,0.00452,0.000547252,0.000547252,0.000547252
16,263.095,1.13157,1.7672,0.00202,0.67436,0.47686,0.5239,0.32031,1.77251,6.12659,0.00447,0.000544341,0.000544341,0.000544341
17,277.934,1.0418,1.41545,0.0017,0.71311,0.44414,0.53301,0.3313,1.82266,6.46153,0.00471,0.00054143,0.00054143,0.00054143
18,292.817,1.0076,1.39906,0.00178,0.67623,0.51547,0.57915,0.35988,1.77898,6.09977,0.00446,0.00053852,0.00053852,0.00053852
19,307.817,1.00274,1.29614,0.00175,0.69144,0.48576,0.55336,0.34409,1.77016,6.42647,0.00441,0.000535609,0.000535609,0.000535609
