epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1331,3.24419,47.2935,0.00928,0.00032,0.00165,0.00016,2e-05,2.85113,21.826,0.0083,8.232e-05,8.232e-05,8.232e-05
2,49.0821,2.46047,30.8327,0.00639,0.4372,0.05375,0.02151,0.00862,2.58959,14.7004,0.00719,0.000169676,0.000169676,0.000169676
3,64.0927,1.99263,18.2315,0.00467,0.07726,0.17796,0.04847,0.01234,3.05207,11.1787,0.00939,0.000256159,0.000256159,0.000256159
4,80.1623,1.89473,12.3361,0.00437,0.23508,0.28186,0.17922,0.05699,2.52811,8.61851,0.00707,0.000341768,0.000341768,0.000341768
5,96.33,1.7858,9.49481,0.0041,0.32887,0.34291,0.2753,0.09858,2.41822,7.81063,0.00657,0.000426505,0.000426505,0.000426505
6,111.268,1.81133,7.76636,0.00419,0.48215,0.44194,0.40999,0.1626,2.28829,6.91196,0.00612,0.000510368,0.000510368,0.000510368
7,126.285,1.76777,6.80597,0.0041,0.50407,0.40269,0.4214,0.17566,2.25339,7.57621,0.00596,0.000570536,0.000570536,0.000570536
8,141.314,1.75581,6.31358,0.00405,0.52278,0.46405,0.4788,0.1959,2.27234,7.20809,0.00585,0.000567626,0.000567626,0.000567626
9,156.467,1.75805,5.91566,0.00407,0.50881,0.45419,0.46839,0.221,2.11811,6.67826,0.00549,0.000564715,0.000564715,0.000564715
10,171.608,1.75775,5.49789,0.00407,0.53362,0.44699,0.43264,0.15326,2.46848,6.5349,0.00695,0.000561805,0.000561805,0.000561805
11,186.488,1.74307,5.04159,0.00406,0.40613,0.38757,0.32895,0.09635,2.59818,6.6053,0.00732,0.000558894,0.000558894,0.000558894
12,201.314,1.63501,5.06315,0.00389,0.49679,0.40537,0.36894,0.10473,2.72565,6.97689,0.00789,0.000555983,0.000555983,0.000555983
13,216.089,1.68411,4.91701,0.00386,0.52962,0.45481,0.42837,0.12624,2.72823,6.25105,0.00758,0.000553073,0.000553073,0.000553073
14,230.844,1.63172,4.52249,0.00377,0.64272,0.51754,0.55468,0.21966,2.2774,5.83287,0.00603,0.000550162,0.000550162,0.000550162
15,245.729,1.66125,4.33995,0.00377,0.58351,0.47644,0.4532,0.13882,2.63788,5.83729,0.00715,0.000547252,0.000547252,0.000547252
16,260.57,1.67658,4.54519,0.00378,0.75448,0.52884,0.61138,0.23396,2.27143,5.49396,0.00591,0.000544341,0.000544341,0.000544341
17,275.681,1.64475,4.17784,0.00357,0.72265,0.59198,0.65341,0.31857,2.00374,4.90823,0.00511,0.00054143,0.00054143,0.00054143
18,290.65,1.70624,4.23677,0.00387,0.64661,0.49394,0.51245,0.16887,2.42909,5.5788,0.00622,0.00053852,0.00053852,0.00053852
19,305.444,1.64295,4.1495,0.00384,0.69913,0.57416,0.63053,0.27142,2.15051,5.02651,0.00549,0.000535609,0.000535609,0.000535609
20,320.238,1.60012,3.81421,0.00355,0.7775,0.60597,0.67926,0.30085,2.06433,4.72936,0.00521,0.000532699,0.000532699,0.000532699
21,335.036,1.62921,3.75477,0.00342,0.72697,0.59158,0.66173,0.29748,2.09735,4.90182,0.00549,0.000529788,0.000529788,0.000529788
22,350.408,1.60516,3.51345,0.00351,0.71622,0.54238,0.57738,0.20147,2.46709,5.07927,0.0066,0.000526877,0.000526877,0.000526877
23,365.258,1.54572,3.34608,0.00341,0.73143,0.50592,0.55512,0.18545,2.51323,5.58776,0.00668,0.000523967,0.000523967,0.000523967
24,380.122,1.57127,3.29119,0.00328,0.77228,0.54973,0.61411,0.22236,2.40324,5.26871,0.00635,0.000521056,0.000521056,0.000521056
25,394.886,1.55673,3.15062,0.00342,0.79819,0.58806,0.65801,0.25294,2.25495,5.02505,0.00574,0.000518146,0.000518146,0.000518146
26,409.618,1.5695,3.19638,0.00338,0.81247,0.60377,0.66459,0.24308,2.32479,4.7199,0.00592,0.000515235,0.000515235,0.000515235
27,424.435,1.5857,3.2884,0.00346,0.72653,0.57596,0.6179,0.22707,2.32377,4.89407,0.00595,0.000512324,0.000512324,0.000512324
28,439.178,1.5785,3.09551,0.00351,0.74849,0.52205,0.55787,0.18346,2.56025,5.13723,0.00693,0.000509414,0.000509414,0.000509414
29,453.939,1.56545,3.07569,0.00363,0.74131,0.56245,0.59035,0.19075,2.51474,4.86242,0.0065,0.000506503,0.000506503,0.000506503
30,468.673,1.48693,2.95027,0.00327,0.81926,0.60074,0.64351,0.2118,2.43054,4.67585,0.00616,0.000503593,0.000503593,0.000503593
31,483.464,1.54839,3.26268,0.00357,0.84446,0.61485,0.69886,0.29491,2.21083,4.32143,0.00572,0.000500682,0.000500682,0.000500682
32,498.318,1.53793,3.053,0.00362,0.81365,0.62743,0.69488,0.26629,2.28057,4.56074,0.00578,0.000497771,0.000497771,0.000497771
33,513.209,1.50053,2.86041,0.00321,0.84113,0.5905,0.66582,0.25049,2.37026,4.79436,0.00622,0.000494861,0.000494861,0.000494861
34,527.998,1.5038,2.81268,0.00347,0.85108,0.63144,0.71607,0.29759,2.18225,4.73267,0.00561,0.00049195,0.00049195,0.00049195
35,542.78,1.49111,2.87689,0.00316,0.82117,0.60587,0.66496,0.25054,2.3565,4.77069,0.00602,0.00048904,0.00048904,0.00048904
36,557.539,1.46486,2.92802,0.00343,0.86314,0.65056,0.71388,0.2964,2.12006,4.51429,0.00514,0.000486129,0.000486129,0.000486129
37,572.317,1.46873,2.68367,0.00306,0.87669,0.65612,0.73321,0.3174,2.15302,4.34678,0.0055,0.000483218,0.000483218,0.000483218
38,587.129,1.51218,2.88862,0.00335,0.83769,0.65098,0.73493,0.38299,1.90783,4.28905,0.00476,0.000480308,0.000480308,0.000480308
39,602.188,1.47449,2.45796,0.00312,0.88172,0.64921,0.74564,0.34883,1.98312,4.19003,0.00486,0.000477397,0.000477397,0.000477397
40,616.977,1.46,2.55505,0.00313,0.7984,0.5983,0.6301,0.20399,2.50996,4.82767,0.00638,0.000474487,0.000474487,0.000474487
41,631.734,1.43705,2.46881,0.00357,0.82967,0.61245,0.69214,0.25719,2.3345,4.82721,0.00608,0.000471576,0.000471576,0.000471576
42,646.741,1.44139,2.47379,0.00328,0.85873,0.63113,0.70538,0.28273,2.25116,4.32428,0.00569,0.000468665,0.000468665,0.000468665
43,661.583,1.45235,2.41603,0.00327,0.88205,0.66434,0.7491,0.34973,2.05263,4.10662,0.00507,0.000465755,0.000465755,0.000465755
44,676.424,1.44012,2.51177,0.00336,0.89451,0.6687,0.76422,0.40391,1.8825,3.94948,0.00461,0.000462844,0.000462844,0.000462844
45,691.39,1.45794,2.41605,0.00313,0.81398,0.63736,0.68733,0.29518,2.16342,4.13656,0.0054,0.000459934,0.000459934,0.000459934
46,706.131,1.45832,2.45043,0.00323,0.82593,0.60965,0.66607,0.25474,2.34427,4.62062,0.00612,0.000457023,0.000457023,0.000457023
47,720.882,1.40712,2.24546,0.0031,0.84454,0.65341,0.71827,0.30105,2.19188,4.16462,0.0056,0.000454112,0.000454112,0.000454112
48,735.581,1.4185,2.37051,0.00329,0.88444,0.63273,0.738,0.35408,1.97911,4.02382,0.005,0.000451202,0.000451202,0.000451202
49,750.443,1.41166,2.34647,0.00303,0.87967,0.66191,0.74574,0.36076,1.98077,4.20571,0.00491,0.000448291,0.000448291,0.000448291
50,765.312,1.41841,2.3864,0.00317,0.86305,0.64187,0.70022,0.2643,2.32372,4.08189,0.00588,0.000445381,0.000445381,0.000445381
51,780.106,1.42786,2.26651,0.00304,0.87222,0.6673,0.75298,0.32388,2.12621,3.99176,0.00531,0.00044247,0.00044247,0.00044247
52,794.99,1.40938,2.4274,0.00321,0.92524,0.67578,0.78028,0.4208,1.8606,3.63906,0.00468,0.000439559,0.000439559,0.000439559
53,809.882,1.39579,1.89491,0.00303,0.8641,0.69527,0.76665,0.34118,2.1366,3.96942,0.00543,0.000436649,0.000436649,0.000436649
54,824.735,1.4293,2.12242,0.00303,0.91268,0.67943,0.77559,0.37104,1.98769,3.66695,0.00496,0.000433738,0.000433738,0.000433738
55,839.481,1.4047,2.0175,0.00319,0.87458,0.68756,0.76689,0.32131,2.19846,4.03699,0.00548,0.000430828,0.000430828,0.000430828
56,854.277,1.38899,2.09423,0.00316,0.88446,0.68699,0.77219,0.34526,2.08323,3.9432,0.00539,0.000427917,0.000427917,0.000427917
57,869.177,1.41336,2.04509,0.00328,0.87024,0.63586,0.71388,0.25589,2.43082,4.11565,0.00622,0.000425006,0.000425006,0.000425006
58,884.228,1.32965,1.80006,0.00282,0.902,0.6725,0.7567,0.32877,2.14837,4.03942,0.00541,0.000422096,0.000422096,0.000422096
59,898.977,1.34692,1.84961,0.00299,0.88255,0.68786,0.76697,0.31984,2.1943,4.00894,0.00539,0.000419185,0.000419185,0.000419185
60,913.693,1.35721,1.92749,0.00328,0.90955,0.68584,0.77482,0.3462,2.07008,3.55084,0.00508,0.000416275,0.000416275,0.000416275
61,928.426,1.38479,2.08262,0.00343,0.92255,0.68137,0.7868,0.38121,2.00844,3.84053,0.00511,0.000413364,0.000413364,0.000413364
62,943.214,1.36242,1.80497,0.00309,0.90295,0.68136,0.76661,0.33215,2.20958,3.84834,0.00559,0.000410453,0.000410453,0.000410453
63,958.06,1.36146,1.8419,0.00307,0.89754,0.69885,0.79107,0.41922,1.9233,3.66746,0.0049,0.000407543,0.000407543,0.000407543
64,972.864,1.38493,1.68851,0.00309,0.90814,0.69022,0.77505,0.34025,2.20401,3.75796,0.00579,0.000404632,0.000404632,0.000404632
65,987.587,1.32606,1.53537,0.00286,0.89066,0.69239,0.78452,0.38462,2.01697,3.68123,0.00528,0.000401722,0.000401722,0.000401722
66,1002.32,1.31677,1.58408,0.00296,0.88576,0.68476,0.77981,0.37256,2.02096,3.8408,0.00509,0.000398811,0.000398811,0.000398811
67,1017.1,1.35483,1.60589,0.00285,0.89315,0.67535,0.76571,0.33702,2.14159,3.79327,0.00539,0.0003959,0.0003959,0.0003959
68,1031.95,1.31286,1.58242,0.00282,0.91021,0.67987,0.78512,0.42154,1.86326,3.60985,0.00468,0.00039299,0.00039299,0.00039299
69,1046.88,1.32529,1.53993,0.00306,0.88546,0.6925,0.77501,0.37449,2.05001,3.79359,0.00525,0.000390079,0.000390079,0.000390079
